"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13580","@smoke Create default new temp","chromium","Wed May 13 07:09:01 UTC 2026","passed","Wed May 13 07:09:14 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","16385","@regression Create a filled order","chromium","Wed May 13 07:09:30 UTC 2026","passed","Wed May 13 07:09:47 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","5845","@regression Create new client with multiple data for Jersey City, NJ","chromium","Wed May 13 07:08:38 UTC 2026","passed","Wed May 13 07:08:44 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","269","seed","chromium","Wed May 13 07:08:12 UTC 2026","passed","Wed May 13 07:08:12 UTC 2026","Test group","seed.spec.ts","",""
"","25920","@smoke Create new client with mandatory fields","chromium","Wed May 13 07:08:12 UTC 2026","passed","Wed May 13 07:08:38 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","34510","@regression Create a new order","chromium","Wed May 13 07:08:55 UTC 2026","passed","Wed May 13 07:09:30 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","13043","@regression Enable temp flat pay and bill","chromium","Wed May 13 07:09:26 UTC 2026","passed","Wed May 13 07:09:39 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","11876","@regression Create new temp with custom address","chromium","Wed May 13 07:09:14 UTC 2026","passed","Wed May 13 07:09:26 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","15237","@regression Reconcile filled order","chromium","Wed May 13 07:09:47 UTC 2026","passed","Wed May 13 07:10:02 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","6152","@api Verify API method getOrders","chromium","Wed May 13 07:09:04 UTC 2026","passed","Wed May 13 07:09:10 UTC 2026","","API/ClearConnect.spec.ts","",""
"","5322","@regression Create new client with multiple data for Toronto, ON","chromium","Wed May 13 07:08:55 UTC 2026","passed","Wed May 13 07:09:01 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","61558","@regression Reconcile filled order","chromium","Wed May 13 07:08:12 UTC 2026","passed","Wed May 13 07:09:13 UTC 2026","","Timecard/Timecard.spec.ts","",""
"","8237","@smoke Verify user able to login successfully parallel","chromium","Wed May 13 07:08:12 UTC 2026","passed","Wed May 13 07:08:21 UTC 2026","","UI/Login/Login.spec.ts","",""
"","8127","@api Verify API method insertOrder","chromium","Wed May 13 07:08:56 UTC 2026","passed","Wed May 13 07:09:04 UTC 2026","","API/ClearConnect.spec.ts","",""
"","11625","@regression Create new client with multiple data for New York, NY","chromium","Wed May 13 07:08:44 UTC 2026","passed","Wed May 13 07:08:55 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","4783","@api Verify API method getClients","chromium","Wed May 13 07:09:10 UTC 2026","passed","Wed May 13 07:09:15 UTC 2026","","API/ClearConnect.spec.ts","",""
"","43943","@api Verify API method getTemps","chromium","Wed May 13 07:08:12 UTC 2026","passed","Wed May 13 07:08:56 UTC 2026","","API/ClearConnect.spec.ts","",""
