"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","387","@smoke Create new client with mandatory fields","chromium","Mon May 11 16:47:57 UTC 2026","failed","Mon May 11 16:47:57 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","420","@smoke Create default new temp","chromium","Mon May 11 16:47:57 UTC 2026","failed","Mon May 11 16:47:57 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","455","@smoke Verify user able to login successfully parallel","chromium","Mon May 11 16:47:57 UTC 2026","failed","Mon May 11 16:47:57 UTC 2026","","UI/Login/Login.spec.ts","",""
