"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6533","@api Verify API method insertOrder","chromium","Thu May 14 09:58:20 UTC 2026","passed","Thu May 14 09:58:26 UTC 2026","","API/ClearConnect.spec.ts","",""
"","11768","@regression Create new client with multiple data for New York, NY","chromium","Thu May 14 09:58:21 UTC 2026","passed","Thu May 14 09:58:33 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","13088","@regression Enable temp flat pay and bill","chromium","Thu May 14 09:59:07 UTC 2026","passed","Thu May 14 09:59:20 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","8829","@smoke Create new client with mandatory fields","chromium","Thu May 14 09:58:06 UTC 2026","passed","Thu May 14 09:58:15 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","3241","@smoke Verify Quick link text in admin user page","chromium","Thu May 14 09:58:12 UTC 2026","passed","Thu May 14 09:58:15 UTC 2026","","UI/Login/Login.spec.ts","",""
"","18759","@regression Reconcile filled order","chromium","Thu May 14 10:02:12 UTC 2026","passed","Thu May 14 10:02:31 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","35277","@regression Create a new order","chromium","Thu May 14 09:58:15 UTC 2026","passed","Thu May 14 09:58:50 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","5145","@regression Create new client with multiple data for Toronto, ON","chromium","Thu May 14 09:58:33 UTC 2026","passed","Thu May 14 09:58:38 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","13348","@smoke Create default new temp","chromium","Thu May 14 09:58:38 UTC 2026","passed","Thu May 14 09:58:51 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","9187","@api Verify API method getOrders","chromium","Thu May 14 09:58:26 UTC 2026","passed","Thu May 14 09:58:36 UTC 2026","","API/ClearConnect.spec.ts","",""
"","2408","@smoke Verify user able to login successfully parallel","chromium","Thu May 14 09:58:07 UTC 2026","passed","Thu May 14 09:58:09 UTC 2026","","UI/Login/Login.spec.ts","",""
"","5582","@regression Create new client with multiple data for Jersey City, NJ","chromium","Thu May 14 09:58:15 UTC 2026","passed","Thu May 14 09:58:21 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","371","seed","chromium","Thu May 14 09:58:06 UTC 2026","passed","Thu May 14 09:58:06 UTC 2026","Test group","seed.spec.ts","",""
"","13447","@api Verify API method getTemps","chromium","Thu May 14 09:58:06 UTC 2026","passed","Thu May 14 09:58:19 UTC 2026","","API/ClearConnect.spec.ts","",""
"","12732","@regression Create new temp with custom address","chromium","Thu May 14 09:58:51 UTC 2026","passed","Thu May 14 09:59:04 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","33816","@regression Reconcile filled order","chromium","Thu May 14 09:58:23 UTC 2026","passed","Thu May 14 09:58:57 UTC 2026","","Timecard/Timecard.spec.ts","",""
"","22493","@regression Reconcile filled order with timecard image","chromium","Thu May 14 09:58:58 UTC 2026","passed","Thu May 14 09:59:21 UTC 2026","","Timecard/Timecard.spec.ts","",""
"","18667","@regression Create a filled order","chromium","Thu May 14 09:58:50 UTC 2026","passed","Thu May 14 09:59:09 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","2490","@smoke Verify Quick link text in main menu page","chromium","Thu May 14 09:58:09 UTC 2026","passed","Thu May 14 09:58:12 UTC 2026","","UI/Login/Login.spec.ts","",""
"","5637","@api Verify API method getClients","chromium","Thu May 14 09:58:36 UTC 2026","passed","Thu May 14 09:58:41 UTC 2026","","API/ClearConnect.spec.ts","",""
