"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4094","@api Verify API method getClients","chromium","Fri May 22 11:24:44 UTC 2026","passed","Fri May 22 11:24:48 UTC 2026","","API/ClearConnect.spec.ts","",""
"","14521","@regression Reconcile filled order","chromium","Fri May 22 11:24:52 UTC 2026","passed","Fri May 22 11:25:06 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","16077","@regression verify the data in downloaded Profitability Report","chromium","Fri May 22 11:25:21 UTC 2026","passed","Fri May 22 11:25:37 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","14174","@regression Create a filled order","chromium","Fri May 22 11:24:37 UTC 2026","passed","Fri May 22 11:24:52 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","7273","@regression Create new client with multiple data for New York, NY","chromium","Fri May 22 11:25:15 UTC 2026","passed","Fri May 22 11:25:23 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","65532","@regression Create new client with multiple data for Jersey City, NJ","chromium","Fri May 22 11:24:10 UTC 2026","passed","Fri May 22 11:25:15 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","15264","@regression Download Profitability Report","chromium","Fri May 22 11:25:06 UTC 2026","passed","Fri May 22 11:25:21 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","2236","@smoke Verify Quick link text in main menu page","chromium","Fri May 22 11:24:04 UTC 2026","passed","Fri May 22 11:24:06 UTC 2026","","UI/Login/Login.spec.ts","",""
"","12648","@api Verify API method getTemps","chromium","Fri May 22 11:24:19 UTC 2026","passed","Fri May 22 11:24:31 UTC 2026","","API/ClearConnect.spec.ts","",""
"","22059","@regression Daily Pay","chromium","Fri May 22 11:25:04 UTC 2026","failed","Fri May 22 11:25:26 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","6031","@api Verify API method getOrders","chromium","Fri May 22 11:24:38 UTC 2026","passed","Fri May 22 11:24:44 UTC 2026","","API/ClearConnect.spec.ts","",""
"","13707","@regression Reconcile filled order with timecard image","chromium","Fri May 22 11:24:15 UTC 2026","passed","Fri May 22 11:24:29 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","11798","@regression Enable temp flat pay and bill","chromium","Fri May 22 11:24:28 UTC 2026","passed","Fri May 22 11:24:40 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","403","seed","chromium","Fri May 22 11:24:00 UTC 2026","passed","Fri May 22 11:24:01 UTC 2026","Test group","seed.spec.ts","",""
"","3199","@smoke Verify Quick link text in admin user page","chromium","Fri May 22 11:24:06 UTC 2026","passed","Fri May 22 11:24:10 UTC 2026","","UI/Login/Login.spec.ts","",""
"","12321","@regression Create new temp with custom address","chromium","Fri May 22 11:24:16 UTC 2026","passed","Fri May 22 11:24:28 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","8865","@smoke Create new client with mandatory fields","chromium","Fri May 22 11:24:01 UTC 2026","passed","Fri May 22 11:24:09 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","33646","@regression Create a new order","chromium","Fri May 22 11:24:00 UTC 2026","passed","Fri May 22 11:24:34 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","14291","@regression Post Timecard","chromium","Fri May 22 11:24:29 UTC 2026","passed","Fri May 22 11:24:43 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","6115","@api Verify API method insertOrder","chromium","Fri May 22 11:24:32 UTC 2026","passed","Fri May 22 11:24:38 UTC 2026","","API/ClearConnect.spec.ts","",""
"","4583","@regression Create new client with multiple data for Toronto, ON","chromium","Fri May 22 11:25:23 UTC 2026","passed","Fri May 22 11:25:27 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","3148","@smoke Verify user able to login successfully parallel","chromium","Fri May 22 11:24:01 UTC 2026","passed","Fri May 22 11:24:04 UTC 2026","","UI/Login/Login.spec.ts","",""
"","10687","@regression Reconcile filled order","chromium","Fri May 22 11:24:02 UTC 2026","passed","Fri May 22 11:24:12 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","14964","@smoke Create default new temp","chromium","Fri May 22 11:24:00 UTC 2026","passed","Fri May 22 11:24:15 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
