"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22807","@smoke Create default new temp","chromium","Sat May 16 03:54:20 UTC 2026","passed","Sat May 16 03:54:43 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","418","seed","chromium","Sat May 16 03:54:21 UTC 2026","passed","Sat May 16 03:54:21 UTC 2026","Test group","seed.spec.ts","",""
"","6038","@api Verify API method getOrders","chromium","Sat May 16 03:56:50 UTC 2026","passed","Sat May 16 03:56:56 UTC 2026","","API/ClearConnect.spec.ts","",""
"","16889","@regression Reconcile filled order","chromium","Sat May 16 03:55:26 UTC 2026","passed","Sat May 16 03:55:42 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","37501","@regression Reconcile filled order","chromium","Sat May 16 03:54:22 UTC 2026","passed","Sat May 16 03:54:59 UTC 2026","","UI/Timecard/Timecard.spec.ts","",""
"","4387","@api Verify API method getClients","chromium","Sat May 16 03:56:57 UTC 2026","passed","Sat May 16 03:57:01 UTC 2026","","API/ClearConnect.spec.ts","",""
"","2857","@smoke Verify Quick link text in main menu page","chromium","Sat May 16 03:54:27 UTC 2026","passed","Sat May 16 03:54:29 UTC 2026","","UI/Login/Login.spec.ts","",""
"","19739","@regression Create a filled order","chromium","Sat May 16 03:55:06 UTC 2026","passed","Sat May 16 03:55:26 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","10848","@smoke Create new client with mandatory fields","chromium","Sat May 16 03:54:21 UTC 2026","passed","Sat May 16 03:54:32 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","5069","@smoke Verify user able to login successfully parallel","chromium","Sat May 16 03:54:21 UTC 2026","passed","Sat May 16 03:54:26 UTC 2026","","UI/Login/Login.spec.ts","",""
"","16958","@regression Enable temp flat pay and bill","chromium","Sat May 16 03:54:59 UTC 2026","passed","Sat May 16 03:55:16 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","44320","@regression Create a new order","chromium","Sat May 16 03:54:21 UTC 2026","passed","Sat May 16 03:55:05 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","28269","@regression Reconcile filled order with timecard image","chromium","Sat May 16 03:54:59 UTC 2026","passed","Sat May 16 03:55:28 UTC 2026","","UI/Timecard/Timecard.spec.ts","",""
"","23707","@api Verify API method getTemps","chromium","Sat May 16 03:54:21 UTC 2026","failed","Sat May 16 03:54:44 UTC 2026","","API/ClearConnect.spec.ts","",""
"","13987","@regression Create new client with multiple data for New York, NY","chromium","Sat May 16 03:54:42 UTC 2026","passed","Sat May 16 03:54:56 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","193198","@regression Reconcile and Post Timecard","chromium","Sat May 16 03:55:28 UTC 2026","broken","Sat May 16 03:58:41 UTC 2026","","UI/Timecard/Timecard.spec.ts","",""
"","9534","@regression Create new client with multiple data for Jersey City, NJ","chromium","Sat May 16 03:54:32 UTC 2026","passed","Sat May 16 03:54:42 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","6013","@smoke Verify Quick link text in admin user page","chromium","Sat May 16 03:54:29 UTC 2026","passed","Sat May 16 03:54:35 UTC 2026","","UI/Login/Login.spec.ts","",""
"","122779","@api Verify API method insertOrder","chromium","Sat May 16 03:54:47 UTC 2026","broken","Sat May 16 03:56:50 UTC 2026","","API/ClearConnect.spec.ts","",""
"","15085","@regression Create new temp with custom address","chromium","Sat May 16 03:54:44 UTC 2026","passed","Sat May 16 03:54:59 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","7671","@regression Create new client with multiple data for Toronto, ON","chromium","Sat May 16 03:54:56 UTC 2026","passed","Sat May 16 03:55:04 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
