"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9348","@smoke Create new client with mandatory fields","chromium","Sat May 16 09:55:29 UTC 2026","passed","Sat May 16 09:55:39 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","5797","@api Verify API method getClients","chromium","Sat May 16 09:56:03 UTC 2026","passed","Sat May 16 09:56:09 UTC 2026","","API/ClearConnect.spec.ts","",""
"","193188","@regression Reconcile and Post Timecard","chromium","Sat May 16 09:56:28 UTC 2026","broken","Sat May 16 09:59:41 UTC 2026","","UI/Timecard/Timecard.spec.ts","",""
"","5623","@api Verify API method insertOrder","chromium","Sat May 16 09:55:48 UTC 2026","passed","Sat May 16 09:55:54 UTC 2026","","API/ClearConnect.spec.ts","",""
"","4004","@smoke Verify user able to login successfully parallel","chromium","Sat May 16 09:55:29 UTC 2026","passed","Sat May 16 09:55:33 UTC 2026","","UI/Login/Login.spec.ts","",""
"","6008","@regression Create new client with multiple data for Toronto, ON","chromium","Sat May 16 09:55:59 UTC 2026","passed","Sat May 16 09:56:05 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","6359","@regression Create new client with multiple data for Jersey City, NJ","chromium","Sat May 16 09:55:40 UTC 2026","passed","Sat May 16 09:55:46 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","1504","@smoke Verify Quick link text in main menu page","chromium","Sat May 16 09:55:34 UTC 2026","passed","Sat May 16 09:55:36 UTC 2026","","UI/Login/Login.spec.ts","",""
"","13415","@regression Create new temp with custom address","chromium","Sat May 16 09:55:48 UTC 2026","passed","Sat May 16 09:56:01 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","17544","@smoke Create default new temp","chromium","Sat May 16 09:55:29 UTC 2026","passed","Sat May 16 09:55:47 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","15443","@regression Create a filled order","chromium","Sat May 16 09:56:10 UTC 2026","passed","Sat May 16 09:56:25 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","39032","@regression Create a new order","chromium","Sat May 16 09:55:29 UTC 2026","passed","Sat May 16 09:56:08 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","8975","@api Verify API method getOrders","chromium","Sat May 16 09:55:54 UTC 2026","passed","Sat May 16 09:56:03 UTC 2026","","API/ClearConnect.spec.ts","",""
"","27603","@regression Reconcile filled order with timecard image","chromium","Sat May 16 09:55:59 UTC 2026","failed","Sat May 16 09:56:27 UTC 2026","","UI/Timecard/Timecard.spec.ts","",""
"","3319","@smoke Verify Quick link text in admin user page","chromium","Sat May 16 09:55:36 UTC 2026","passed","Sat May 16 09:55:39 UTC 2026","","UI/Login/Login.spec.ts","",""
"","14958","@regression Reconcile filled order","chromium","Sat May 16 09:56:25 UTC 2026","passed","Sat May 16 09:56:40 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","28558","@regression Reconcile filled order","chromium","Sat May 16 09:55:31 UTC 2026","passed","Sat May 16 09:55:59 UTC 2026","","UI/Timecard/Timecard.spec.ts","",""
"","18041","@api Verify API method getTemps","chromium","Sat May 16 09:55:29 UTC 2026","passed","Sat May 16 09:55:47 UTC 2026","","API/ClearConnect.spec.ts","",""
"","13942","@regression Enable temp flat pay and bill","chromium","Sat May 16 09:56:02 UTC 2026","passed","Sat May 16 09:56:15 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","13137","@regression Create new client with multiple data for New York, NY","chromium","Sat May 16 09:55:46 UTC 2026","passed","Sat May 16 09:55:59 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","433","seed","chromium","Sat May 16 09:55:29 UTC 2026","passed","Sat May 16 09:55:30 UTC 2026","Test group","seed.spec.ts","",""
