"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","@regression Create a filled order","chromium","Sat May 23 10:11:44 UTC 2026","skipped","Sat May 23 10:11:44 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","55","@api Verify API method getCerts","chromium","Sat May 23 10:11:54 UTC 2026","failed","Sat May 23 10:11:54 UTC 2026","","API/ClearConnect.spec.ts","",""
"","1","@regression verify the data in downloaded Profitability Report","chromium","Sat May 23 10:11:44 UTC 2026","skipped","Sat May 23 10:11:44 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","19","@smoke Create new client with mandatory fields","chromium","Sat May 23 10:11:44 UTC 2026","failed","Sat May 23 10:11:44 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","7","@regression Create new temp with custom address","chromium","Sat May 23 10:11:47 UTC 2026","failed","Sat May 23 10:11:47 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","0","@regression Download Profitability Report","chromium","Sat May 23 10:11:44 UTC 2026","skipped","Sat May 23 10:11:44 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","60","@api Verify API method getClients","chromium","Sat May 23 10:11:52 UTC 2026","failed","Sat May 23 10:11:52 UTC 2026","","API/ClearConnect.spec.ts","",""
"","99","@api Verify API method insertOrder","chromium","Sat May 23 10:11:47 UTC 2026","failed","Sat May 23 10:11:47 UTC 2026","","API/ClearConnect.spec.ts","",""
"","4","@regression Create a new order","chromium","Sat May 23 10:11:44 UTC 2026","failed","Sat May 23 10:11:44 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","1","@regression Post Timecard","chromium","Sat May 23 10:11:47 UTC 2026","skipped","Sat May 23 10:11:47 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","117","@api Verify API method getTemps","chromium","Sat May 23 10:11:43 UTC 2026","failed","Sat May 23 10:11:43 UTC 2026","","API/ClearConnect.spec.ts","",""
"","9","@regression Create new client with multiple data for Jersey City, NJ","chromium","Sat May 23 10:11:47 UTC 2026","failed","Sat May 23 10:11:47 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","0","@regression Reconcile filled order with timecard image","chromium","Sat May 23 10:11:47 UTC 2026","skipped","Sat May 23 10:11:47 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","9","@regression Enable temp flat pay and bill","chromium","Sat May 23 10:11:50 UTC 2026","failed","Sat May 23 10:11:50 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","5","@regression Create new client with multiple data for Toronto, ON","chromium","Sat May 23 10:11:52 UTC 2026","failed","Sat May 23 10:11:52 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","11","seed","chromium","Sat May 23 10:11:43 UTC 2026","failed","Sat May 23 10:11:43 UTC 2026","Test group","seed.spec.ts","",""
"","114","@api Verify API method getOrders","chromium","Sat May 23 10:11:50 UTC 2026","failed","Sat May 23 10:11:50 UTC 2026","","API/ClearConnect.spec.ts","",""
"","0","@regression Reconcile filled order","chromium","Sat May 23 10:11:44 UTC 2026","skipped","Sat May 23 10:11:44 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","6","@smoke Verify Quick link text in main menu page","chromium","Sat May 23 10:11:47 UTC 2026","failed","Sat May 23 10:11:47 UTC 2026","","UI/Login/Login.spec.ts","",""
"","6","@regression Create new client with multiple data for New York, NY","chromium","Sat May 23 10:11:50 UTC 2026","failed","Sat May 23 10:11:50 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","1","@regression Reconcile filled order","chromium","Sat May 23 10:11:46 UTC 2026","failed","Sat May 23 10:11:46 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","0","@regression Daily Pay","chromium","Sat May 23 10:11:47 UTC 2026","skipped","Sat May 23 10:11:47 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","6","@smoke Verify Quick link text in admin user page","chromium","Sat May 23 10:11:50 UTC 2026","failed","Sat May 23 10:11:50 UTC 2026","","UI/Login/Login.spec.ts","",""
"","18","@smoke Verify user able to login successfully parallel","chromium","Sat May 23 10:11:43 UTC 2026","failed","Sat May 23 10:11:43 UTC 2026","","UI/Login/Login.spec.ts","",""
"","12","@smoke Create default new temp","chromium","Sat May 23 10:11:43 UTC 2026","failed","Sat May 23 10:11:43 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
