"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69227","@api Verify API method getOrders","chromium","Wed May 20 11:26:17 UTC 2026","passed","Wed May 20 11:27:26 UTC 2026","","API/ClearConnect.spec.ts","",""
"","12528","@regression Reconcile filled order with timecard image","chromium","Wed May 20 11:26:31 UTC 2026","passed","Wed May 20 11:26:43 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","11171","@regression Enable temp flat pay and bill","chromium","Wed May 20 11:26:25 UTC 2026","passed","Wed May 20 11:26:36 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","20103","@smoke Create default new temp","chromium","Wed May 20 11:25:49 UTC 2026","passed","Wed May 20 11:26:09 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","14779","@regression Reconcile filled order","chromium","Wed May 20 11:26:49 UTC 2026","passed","Wed May 20 11:27:04 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","4243","@smoke Verify user able to login successfully parallel","chromium","Wed May 20 11:25:50 UTC 2026","passed","Wed May 20 11:25:54 UTC 2026","","UI/Login/Login.spec.ts","",""
"","40175","@regression Create a new order","chromium","Wed May 20 11:25:50 UTC 2026","passed","Wed May 20 11:26:30 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","15249","@regression Reconcile filled order","chromium","Wed May 20 11:25:50 UTC 2026","passed","Wed May 20 11:26:06 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","9263","@smoke Create new client with mandatory fields","chromium","Wed May 20 11:25:50 UTC 2026","passed","Wed May 20 11:25:59 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","22342","@regression Daily Pay","chromium","Wed May 20 11:27:23 UTC 2026","failed","Wed May 20 11:27:45 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","19582","@api Verify API method getTemps","chromium","Wed May 20 11:25:50 UTC 2026","passed","Wed May 20 11:26:09 UTC 2026","","API/ClearConnect.spec.ts","",""
"","2497","@smoke Verify Quick link text in admin user page","chromium","Wed May 20 11:25:56 UTC 2026","passed","Wed May 20 11:25:59 UTC 2026","","UI/Login/Login.spec.ts","",""
"","7216","@api Verify API method insertOrder","chromium","Wed May 20 11:26:10 UTC 2026","passed","Wed May 20 11:26:17 UTC 2026","","API/ClearConnect.spec.ts","",""
"","2144","@smoke Verify Quick link text in main menu page","chromium","Wed May 20 11:25:54 UTC 2026","passed","Wed May 20 11:25:56 UTC 2026","","UI/Login/Login.spec.ts","",""
"","5183","@api Verify API method getClients","chromium","Wed May 20 11:27:26 UTC 2026","passed","Wed May 20 11:27:31 UTC 2026","","API/ClearConnect.spec.ts","",""
"","16214","@regression verify the data in downloaded Profitability Report","chromium","Wed May 20 11:27:21 UTC 2026","passed","Wed May 20 11:27:38 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","7488","@regression Create new client with multiple data for Jersey City, NJ","chromium","Wed May 20 11:25:59 UTC 2026","passed","Wed May 20 11:26:07 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","17427","@regression Download Profitability Report","chromium","Wed May 20 11:27:04 UTC 2026","passed","Wed May 20 11:27:21 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","15197","@regression Create a filled order","chromium","Wed May 20 11:26:34 UTC 2026","passed","Wed May 20 11:26:49 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","668","seed","chromium","Wed May 20 11:25:49 UTC 2026","passed","Wed May 20 11:25:50 UTC 2026","Test group","seed.spec.ts","",""
"","6433","@regression Create new client with multiple data for Toronto, ON","chromium","Wed May 20 11:26:20 UTC 2026","passed","Wed May 20 11:26:27 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","15347","@regression Create new temp with custom address","chromium","Wed May 20 11:26:10 UTC 2026","passed","Wed May 20 11:26:25 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","13002","@regression Post Timecard","chromium","Wed May 20 11:26:46 UTC 2026","passed","Wed May 20 11:26:59 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","13183","@regression Create new client with multiple data for New York, NY","chromium","Wed May 20 11:26:07 UTC 2026","passed","Wed May 20 11:26:20 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
