"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16194","Enable temp flat pay and bill","chromium","Mon May 11 05:45:03 UTC 2026","passed","Mon May 11 05:45:19 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","13489","Create new client with multiple data for New York, NY","chromium","Mon May 11 05:44:43 UTC 2026","passed","Mon May 11 05:44:56 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","7429","Create new client with mandatory fields","chromium","Mon May 11 05:44:26 UTC 2026","passed","Mon May 11 05:44:34 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","23978","Verify API method insertOrder","chromium","Mon May 11 05:44:45 UTC 2026","passed","Mon May 11 05:45:09 UTC 2026","","API/ClearConnect.spec.ts","",""
"","7707","Create new client with multiple data for Jersey City, NJ","chromium","Mon May 11 05:44:35 UTC 2026","passed","Mon May 11 05:44:43 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","10846","Create new client with multiple data for Toronto, ON","chromium","Mon May 11 05:44:56 UTC 2026","passed","Mon May 11 05:45:07 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","3442","Verify user able to login successfully parallel","chromium","Mon May 11 05:44:26 UTC 2026","passed","Mon May 11 05:44:30 UTC 2026","","UI/Login/Login.spec.ts","",""
"","48691","create a new order","chromium","Mon May 11 05:44:26 UTC 2026","passed","Mon May 11 05:45:15 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","17997","create new temp with custom address","chromium","Mon May 11 05:44:45 UTC 2026","passed","Mon May 11 05:45:03 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","17291","Verify API method getTemps","chromium","Mon May 11 05:44:26 UTC 2026","passed","Mon May 11 05:44:44 UTC 2026","","API/ClearConnect.spec.ts","",""
"","13864","create default new temp","chromium","Mon May 11 05:44:31 UTC 2026","passed","Mon May 11 05:44:45 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
