"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17165","@regression Reconcile filled order","chromium","Tue May 19 11:39:52 UTC 2026","passed","Tue May 19 11:40:09 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","19752","@regression Daily Pay","chromium","Tue May 19 11:38:59 UTC 2026","failed","Tue May 19 11:39:19 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","4753","@api Verify API method getClients","chromium","Tue May 19 11:38:43 UTC 2026","passed","Tue May 19 11:38:48 UTC 2026","","API/ClearConnect.spec.ts","",""
"","13537","@regression Post Timecard","chromium","Tue May 19 11:38:46 UTC 2026","passed","Tue May 19 11:38:59 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","13892","@regression Create new client with multiple data for New York, NY","chromium","Tue May 19 11:38:23 UTC 2026","passed","Tue May 19 11:38:37 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","2492","@smoke Verify Quick link text in main menu page","chromium","Tue May 19 11:38:12 UTC 2026","passed","Tue May 19 11:38:14 UTC 2026","","UI/Login/Login.spec.ts","",""
"","10534","@smoke Create new client with mandatory fields","chromium","Tue May 19 11:38:05 UTC 2026","passed","Tue May 19 11:38:16 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","8130","@api Verify API method insertOrder","chromium","Tue May 19 11:38:27 UTC 2026","passed","Tue May 19 11:38:35 UTC 2026","","API/ClearConnect.spec.ts","",""
"","4645","@smoke Verify user able to login successfully parallel","chromium","Tue May 19 11:38:05 UTC 2026","passed","Tue May 19 11:38:10 UTC 2026","","UI/Login/Login.spec.ts","",""
"","5847","@regression Create new client with multiple data for Jersey City, NJ","chromium","Tue May 19 11:38:17 UTC 2026","passed","Tue May 19 11:38:23 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","15857","@regression Reconcile filled order","chromium","Tue May 19 11:38:07 UTC 2026","passed","Tue May 19 11:38:23 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","2163","@smoke Verify Quick link text in admin user page","chromium","Tue May 19 11:38:14 UTC 2026","passed","Tue May 19 11:38:16 UTC 2026","","UI/Login/Login.spec.ts","",""
"","21500","@regression Reconcile filled order with timecard image","chromium","Tue May 19 11:38:23 UTC 2026","failed","Tue May 19 11:38:45 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","62512","@regression Create a filled order","chromium","Tue May 19 11:38:49 UTC 2026","broken","Tue May 19 11:39:51 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","8119","@api Verify API method getOrders","chromium","Tue May 19 11:38:35 UTC 2026","passed","Tue May 19 11:38:43 UTC 2026","","API/ClearConnect.spec.ts","",""
"","16574","@regression Enable temp flat pay and bill","chromium","Tue May 19 11:38:27 UTC 2026","passed","Tue May 19 11:38:43 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","384","seed","chromium","Tue May 19 11:38:05 UTC 2026","passed","Tue May 19 11:38:05 UTC 2026","Test group","seed.spec.ts","",""
"","16634","@regression Download Profitability Report","chromium","Tue May 19 11:40:09 UTC 2026","passed","Tue May 19 11:40:26 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","20105","@api Verify API method getTemps","chromium","Tue May 19 11:38:05 UTC 2026","passed","Tue May 19 11:38:25 UTC 2026","","API/ClearConnect.spec.ts","",""
"","41600","@regression Create a new order","chromium","Tue May 19 11:38:05 UTC 2026","passed","Tue May 19 11:38:47 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","14277","@regression Create new temp with custom address","chromium","Tue May 19 11:38:13 UTC 2026","passed","Tue May 19 11:38:27 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","5802","@regression Create new client with multiple data for Toronto, ON","chromium","Tue May 19 11:38:37 UTC 2026","passed","Tue May 19 11:38:43 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","4737","@smoke Create default new temp","chromium","Tue May 19 11:38:05 UTC 2026","failed","Tue May 19 11:38:10 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
