"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12119","@regression Create new client with multiple data for New York, NY","chromium","Tue May 12 05:50:50 UTC 2026","passed","Tue May 12 05:51:02 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","15575","@regression Create a filled order","chromium","Tue May 12 05:51:14 UTC 2026","passed","Tue May 12 05:51:29 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","5646","@regression Create new client with multiple data for Toronto, ON","chromium","Tue May 12 05:51:02 UTC 2026","passed","Tue May 12 05:51:08 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","6264","@smoke Create new client with mandatory fields","chromium","Tue May 12 05:50:36 UTC 2026","passed","Tue May 12 05:50:42 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","10079","@regression Enable temp flat pay and bill","chromium","Tue May 12 05:51:29 UTC 2026","passed","Tue May 12 05:51:39 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","11511","@regression Create new temp with custom address","chromium","Tue May 12 05:51:17 UTC 2026","passed","Tue May 12 05:51:29 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","17475","@api Verify API method getTemps","chromium","Tue May 12 05:50:36 UTC 2026","passed","Tue May 12 05:50:54 UTC 2026","","API/ClearConnect.spec.ts","",""
"","3123","@smoke Verify user able to login successfully parallel","chromium","Tue May 12 05:50:36 UTC 2026","passed","Tue May 12 05:50:39 UTC 2026","","UI/Login/Login.spec.ts","",""
"","5631","@regression Create new client with multiple data for Jersey City, NJ","chromium","Tue May 12 05:50:44 UTC 2026","passed","Tue May 12 05:50:50 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","16591","@regression Reconcile filled order","chromium","Tue May 12 05:51:29 UTC 2026","passed","Tue May 12 05:51:46 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","32738","@regression Create a new order","chromium","Tue May 12 05:50:41 UTC 2026","passed","Tue May 12 05:51:14 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","10324","@smoke Create default new temp","chromium","Tue May 12 05:51:07 UTC 2026","passed","Tue May 12 05:51:17 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","5978","@api Verify API method getClients","chromium","Tue May 12 05:51:02 UTC 2026","passed","Tue May 12 05:51:08 UTC 2026","","API/ClearConnect.spec.ts","",""
"","28768","@regression Reconcile filled order","chromium","Tue May 12 05:50:36 UTC 2026","passed","Tue May 12 05:51:05 UTC 2026","","Timecard/Timecard.spec.ts","",""
"","6639","@api Verify API method insertOrder","chromium","Tue May 12 05:50:55 UTC 2026","passed","Tue May 12 05:51:02 UTC 2026","","API/ClearConnect.spec.ts","",""
