"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66556","@api Verify API method getOrders","chromium","Sun May 17 10:05:56 UTC 2026","passed","Sun May 17 10:07:03 UTC 2026","","API/ClearConnect.spec.ts","",""
"","13973","@regression Reconcile filled order","chromium","Sun May 17 10:06:28 UTC 2026","passed","Sun May 17 10:06:42 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","43815","@regression Create a new order","chromium","Sun May 17 10:05:28 UTC 2026","passed","Sun May 17 10:06:12 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","12427","@smoke Create new client with mandatory fields","chromium","Sun May 17 10:05:29 UTC 2026","passed","Sun May 17 10:05:41 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","7730","@regression Create new client with multiple data for Jersey City, NJ","chromium","Sun May 17 10:05:41 UTC 2026","passed","Sun May 17 10:05:49 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","18502","@smoke Create default new temp","chromium","Sun May 17 10:05:28 UTC 2026","passed","Sun May 17 10:05:47 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","18035","@regression Reconcile filled order","chromium","Sun May 17 10:05:29 UTC 2026","passed","Sun May 17 10:05:47 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","12545","@regression Post Timecard","chromium","Sun May 17 10:06:25 UTC 2026","passed","Sun May 17 10:06:37 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","5100","@smoke Verify user able to login successfully parallel","chromium","Sun May 17 10:05:28 UTC 2026","passed","Sun May 17 10:05:33 UTC 2026","","UI/Login/Login.spec.ts","",""
"","15527","@regression Create a filled order","chromium","Sun May 17 10:06:12 UTC 2026","passed","Sun May 17 10:06:28 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","228","seed","chromium","Sun May 17 10:05:29 UTC 2026","passed","Sun May 17 10:05:29 UTC 2026","Test group","seed.spec.ts","",""
"","4273","@api Verify API method getClients","chromium","Sun May 17 10:07:03 UTC 2026","passed","Sun May 17 10:07:07 UTC 2026","","API/ClearConnect.spec.ts","",""
"","13931","@regression Reconcile filled order with timecard image","chromium","Sun May 17 10:06:10 UTC 2026","passed","Sun May 17 10:06:24 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","3196","@smoke Verify Quick link text in admin user page","chromium","Sun May 17 10:05:35 UTC 2026","passed","Sun May 17 10:05:39 UTC 2026","","UI/Login/Login.spec.ts","",""
"","16225","@regression Create new temp with custom address","chromium","Sun May 17 10:05:47 UTC 2026","passed","Sun May 17 10:06:03 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","19681","@api Verify API method getTemps","chromium","Sun May 17 10:05:28 UTC 2026","passed","Sun May 17 10:05:48 UTC 2026","","API/ClearConnect.spec.ts","",""
"","6852","@regression Create new client with multiple data for Toronto, ON","chromium","Sun May 17 10:06:02 UTC 2026","passed","Sun May 17 10:06:09 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","12821","@regression Create new client with multiple data for New York, NY","chromium","Sun May 17 10:05:49 UTC 2026","passed","Sun May 17 10:06:02 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","12429","@regression Enable temp flat pay and bill","chromium","Sun May 17 10:06:03 UTC 2026","passed","Sun May 17 10:06:16 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","7812","@api Verify API method insertOrder","chromium","Sun May 17 10:05:48 UTC 2026","passed","Sun May 17 10:05:56 UTC 2026","","API/ClearConnect.spec.ts","",""
"","1885","@smoke Verify Quick link text in main menu page","chromium","Sun May 17 10:05:34 UTC 2026","passed","Sun May 17 10:05:35 UTC 2026","","UI/Login/Login.spec.ts","",""
