"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3261","@smoke Verify user able to login successfully parallel","chromium","Tue May 12 01:54:32 UTC 2026","passed","Tue May 12 01:54:35 UTC 2026","","UI/Login/Login.spec.ts","",""
"","9061","@smoke Create new client with mandatory fields","chromium","Tue May 12 01:54:32 UTC 2026","passed","Tue May 12 01:54:41 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","15246","@smoke Create default new temp","chromium","Tue May 12 01:54:32 UTC 2026","passed","Tue May 12 01:54:47 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
