"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17627","@api Verify API method getTemps","chromium","Thu May 21 11:43:25 UTC 2026","passed","Thu May 21 11:43:43 UTC 2026","","API/ClearConnect.spec.ts","",""
"","3964","@smoke Verify user able to login successfully parallel","chromium","Thu May 21 11:43:06 UTC 2026","passed","Thu May 21 11:43:10 UTC 2026","","UI/Login/Login.spec.ts","",""
"","13998","@regression Reconcile filled order with timecard image","chromium","Thu May 21 11:43:44 UTC 2026","passed","Thu May 21 11:43:58 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","10072","@smoke Create new client with mandatory fields","chromium","Thu May 21 11:43:06 UTC 2026","passed","Thu May 21 11:43:16 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","7252","@regression Create new client with multiple data for Toronto, ON","chromium","Thu May 21 11:43:35 UTC 2026","passed","Thu May 21 11:43:42 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","15491","@regression verify the data in downloaded Profitability Report","chromium","Thu May 21 11:44:37 UTC 2026","passed","Thu May 21 11:44:53 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","4853","@api Verify API method getClients","chromium","Thu May 21 11:43:58 UTC 2026","passed","Thu May 21 11:44:02 UTC 2026","","API/ClearConnect.spec.ts","",""
"","16885","@regression Enable temp flat pay and bill","chromium","Thu May 21 11:43:40 UTC 2026","passed","Thu May 21 11:43:57 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","7048","@api Verify API method getOrders","chromium","Thu May 21 11:43:51 UTC 2026","passed","Thu May 21 11:43:58 UTC 2026","","API/ClearConnect.spec.ts","",""
"","16425","@regression Create a filled order","chromium","Thu May 21 11:43:50 UTC 2026","passed","Thu May 21 11:44:06 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","5970","@regression Create new client with multiple data for Jersey City, NJ","chromium","Thu May 21 11:43:16 UTC 2026","passed","Thu May 21 11:43:22 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","16393","@regression Download Profitability Report","chromium","Thu May 21 11:44:21 UTC 2026","passed","Thu May 21 11:44:37 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","39398","@regression Create a new order","chromium","Thu May 21 11:43:06 UTC 2026","passed","Thu May 21 11:43:45 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","3232","@smoke Verify Quick link text in admin user page","chromium","Thu May 21 11:43:12 UTC 2026","passed","Thu May 21 11:43:16 UTC 2026","","UI/Login/Login.spec.ts","",""
"","13082","@regression Create new client with multiple data for New York, NY","chromium","Thu May 21 11:43:22 UTC 2026","passed","Thu May 21 11:43:35 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","14537","@regression Reconcile filled order","chromium","Thu May 21 11:44:06 UTC 2026","passed","Thu May 21 11:44:21 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","11834","@regression Post Timecard","chromium","Thu May 21 11:44:01 UTC 2026","passed","Thu May 21 11:44:12 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","15040","@regression Create new temp with custom address","chromium","Thu May 21 11:43:22 UTC 2026","passed","Thu May 21 11:43:37 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","6809","@api Verify API method insertOrder","chromium","Thu May 21 11:43:44 UTC 2026","passed","Thu May 21 11:43:50 UTC 2026","","API/ClearConnect.spec.ts","",""
"","15748","@smoke Create default new temp","chromium","Thu May 21 11:43:06 UTC 2026","passed","Thu May 21 11:43:22 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","13278","@regression Reconcile filled order","chromium","Thu May 21 11:43:07 UTC 2026","passed","Thu May 21 11:43:20 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","532","seed","chromium","Thu May 21 11:43:05 UTC 2026","passed","Thu May 21 11:43:06 UTC 2026","Test group","seed.spec.ts","",""
"","2034","@smoke Verify Quick link text in main menu page","chromium","Thu May 21 11:43:10 UTC 2026","passed","Thu May 21 11:43:12 UTC 2026","","UI/Login/Login.spec.ts","",""
"","20749","@regression Daily Pay","chromium","Thu May 21 11:44:37 UTC 2026","failed","Thu May 21 11:44:58 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
