"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6920","@api Verify API method insertOrder","chromium","Sat May 16 10:42:22 UTC 2026","passed","Sat May 16 10:42:29 UTC 2026","","API/ClearConnect.spec.ts","",""
"","14066","@regression Create new temp with custom address","chromium","Sat May 16 10:42:20 UTC 2026","passed","Sat May 16 10:42:34 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","36588","@regression Create a new order","chromium","Sat May 16 10:42:06 UTC 2026","passed","Sat May 16 10:42:42 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","1698","@smoke Verify Quick link text in main menu page","chromium","Sat May 16 10:42:10 UTC 2026","passed","Sat May 16 10:42:12 UTC 2026","","UI/Login/Login.spec.ts","",""
"","9546","@regression Create new client with multiple data for New York, NY","chromium","Sat May 16 10:42:22 UTC 2026","passed","Sat May 16 10:42:31 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","3846","@smoke Verify Quick link text in admin user page","chromium","Sat May 16 10:42:12 UTC 2026","passed","Sat May 16 10:42:16 UTC 2026","","UI/Login/Login.spec.ts","",""
"","14661","@regression Post Timecard","chromium","Sat May 16 10:42:34 UTC 2026","passed","Sat May 16 10:42:49 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","14534","@regression Reconcile filled order with timecard image","chromium","Sat May 16 10:42:20 UTC 2026","passed","Sat May 16 10:42:34 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","3866","@smoke Verify user able to login successfully parallel","chromium","Sat May 16 10:42:06 UTC 2026","passed","Sat May 16 10:42:10 UTC 2026","","UI/Login/Login.spec.ts","",""
"","16035","@api Verify API method getTemps","chromium","Sat May 16 10:42:06 UTC 2026","passed","Sat May 16 10:42:22 UTC 2026","","API/ClearConnect.spec.ts","",""
"","12610","@regression Reconcile filled order","chromium","Sat May 16 10:42:57 UTC 2026","passed","Sat May 16 10:43:10 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","624","seed","chromium","Sat May 16 10:42:06 UTC 2026","passed","Sat May 16 10:42:06 UTC 2026","Test group","seed.spec.ts","",""
"","6926","@regression Create new client with multiple data for Toronto, ON","chromium","Sat May 16 10:42:31 UTC 2026","passed","Sat May 16 10:42:38 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","14465","@regression Create a filled order","chromium","Sat May 16 10:42:43 UTC 2026","passed","Sat May 16 10:42:57 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","12821","@regression Reconcile filled order","chromium","Sat May 16 10:42:07 UTC 2026","passed","Sat May 16 10:42:19 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","4669","@api Verify API method getClients","chromium","Sat May 16 10:42:36 UTC 2026","passed","Sat May 16 10:42:41 UTC 2026","","API/ClearConnect.spec.ts","",""
"","7298","@api Verify API method getOrders","chromium","Sat May 16 10:42:29 UTC 2026","passed","Sat May 16 10:42:36 UTC 2026","","API/ClearConnect.spec.ts","",""
"","14061","@regression Enable temp flat pay and bill","chromium","Sat May 16 10:42:37 UTC 2026","passed","Sat May 16 10:42:51 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","9730","@smoke Create new client with mandatory fields","chromium","Sat May 16 10:42:06 UTC 2026","passed","Sat May 16 10:42:15 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","5950","@regression Create new client with multiple data for Jersey City, NJ","chromium","Sat May 16 10:42:16 UTC 2026","passed","Sat May 16 10:42:22 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","14114","@smoke Create default new temp","chromium","Sat May 16 10:42:05 UTC 2026","passed","Sat May 16 10:42:20 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
